label,case,dt_dir,interval,dt,r,mean_l00,mean_l01,mean_l10,mean_l11,mean_p01,mean_p10,frac_l01_lt_l00,frac_l01_neg
"baseline | dt=0 | dxyz=(0,0,0) | null",baseline,simultaneous,,0.0,0.0,-0.2201339537882467,-0.2201339537882467,-0.2201339537882467,-0.2201339537882467,0.5,0.5,0.0,0.52
"space_only | dt=0 | dxyz=(64,0,0) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,0.0030283287009752425,0.002898842812646265,0.0031407053307875277,0.0030283287009753045,0.49996762869100403,0.5000280942007834,0.515,0.52
"space_only | dt=0 | dxyz=(-64,-0,-0) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.10141348706641061,-0.10165297380036091,-0.10115953684733185,-0.10141348706641054,0.49994012893218864,0.5000634869888677,0.505,0.555
"space_only | dt=0 | dxyz=(0,64,0) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.017098565505223498,-0.017117828860573815,-0.016883177363923016,-0.017098565505223463,0.49999518238821694,0.5000538483398695,0.565,0.495
"space_only | dt=0 | dxyz=(-0,-64,-0) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.084625907153574,-0.08458239350029537,-0.08448730191048809,-0.08462590715357393,0.5000108777816191,0.5000346516928448,0.495,0.525
"space_only | dt=0 | dxyz=(0,0,64) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,0.10286066258648534,0.1023753783842036,0.1025242076628134,0.10286066258648532,0.49987867914548473,0.49991588669136794,0.59,0.435
"space_only | dt=0 | dxyz=(-0,-0,-64) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.0804358267193353,-0.08122283335333219,-0.08040749754209184,-0.0804358267193353,0.49980324881907323,0.5000070823621512,0.635,0.49
"space_only | dt=0 | dxyz=(36.9504,36.9504,36.9504) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.1413470123416353,-0.14158315835626026,-0.14128186999943382,-0.14134701234163535,0.49994096410861827,0.5000162851481699,0.505,0.52
"space_only | dt=0 | dxyz=(-36.9504,-36.9504,-36.9504) | spacelike",space_only,simultaneous,spacelike,0.0,64.0,-0.07729121221181412,-0.07751075084258627,-0.07731745211419982,-0.07729121221181426,0.4999451157440699,0.4999934398480629,0.49,0.525
"space_only | dt=0 | dxyz=(256,0,0) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.00781780500408602,-0.007627512836455273,-0.008328649341156185,-0.007817805004086065,0.5000476773093844,0.4998722504002919,0.47,0.49
"space_only | dt=0 | dxyz=(-256,-0,-0) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.1535961769104942,-0.15227226445385494,-0.1547505637924369,-0.15359617691049426,0.5003309450557744,0.4997114738853074,0.51,0.55
"space_only | dt=0 | dxyz=(0,256,0) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.05418119826147444,-0.05201007931207116,-0.05371387384169855,-0.05418119826147447,0.500542728478935,0.5001168337915839,0.425,0.49
"space_only | dt=0 | dxyz=(-0,-256,-0) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.09986478073388852,-0.09913606800005877,-0.09777128227729551,-0.09986478073388852,0.500182187771014,0.5005232686886149,0.48,0.52
"space_only | dt=0 | dxyz=(0,0,256) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.22254965195378176,-0.22837136046929055,-0.22785146222673433,-0.22254965195378185,0.49854461691603436,0.4986746080573431,0.735,0.545
"space_only | dt=0 | dxyz=(-0,-0,-256) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,0.013716278254302496,0.009061353692547965,0.007883373322469427,0.013716278254302433,0.498836317262125,0.49854183140265057,0.67,0.51
"space_only | dt=0 | dxyz=(147.802,147.802,147.802) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.210147186214473,-0.21298567144410882,-0.210178824283909,-0.21014718621447304,0.49929043374737775,0.4999920856053906,0.585,0.605
"space_only | dt=0 | dxyz=(-147.802,-147.802,-147.802) | spacelike",space_only,simultaneous,spacelike,0.0,256.0,-0.1682093958089829,-0.16828877842460535,-0.17073527582006562,-0.16820939580898286,0.4999801945409807,0.49936853984231433,0.48,0.54
"space_only | dt=0 | dxyz=(1024,0,0) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.04815436369175579,-0.047879200074233096,-0.04973872348674391,-0.048154363691755825,0.5000732018666346,0.4996106862347698,0.46,0.525
"space_only | dt=0 | dxyz=(-1024,-0,-0) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.08615155000445515,-0.09195016606534505,-0.09347538794896972,-0.08615155000445522,0.49856068690358185,0.4981767076339446,0.475,0.505
"space_only | dt=0 | dxyz=(0,1024,0) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.05598143546025344,-0.03851479952647396,-0.026438092965328598,-0.0559814354602535,0.5043550873207743,0.5073755373750398,0.415,0.48
"space_only | dt=0 | dxyz=(-0,-1024,-0) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.13018565179051841,-0.10444016735506441,-0.11431301050203459,-0.13018565179051847,0.5064241610577576,0.503943373013295,0.35,0.55
"space_only | dt=0 | dxyz=(0,0,1024) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.24317477924289485,-0.32820404791477514,-0.3212710754330641,-0.2431747792428949,0.4788177728792181,0.48054324475481125,0.895,0.54
"space_only | dt=0 | dxyz=(-0,-0,-1024) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.13577468567310277,-0.2285075799448173,-0.2245143435537136,-0.13577468567310283,0.47690874462556776,0.4779217842862103,0.91,0.535
"space_only | dt=0 | dxyz=(591.207,591.207,591.207) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,0.06796815818545009,0.04814545219096583,0.039267839089373875,0.06796815818545004,0.4950509619179648,0.4928344468543411,0.6,0.495
"space_only | dt=0 | dxyz=(-591.207,-591.207,-591.207) | spacelike",space_only,simultaneous,spacelike,0.0,1024.0,-0.1721413258324986,-0.20062840966188278,-0.18873254145294754,-0.17214132583249872,0.49289254735867816,0.4958606948715314,0.63,0.535
"time_only | dt=64 | dxyz=(0,0,0) | timelike",time_only,future,timelike,64.0,0.0,-0.04463184350110353,-0.04527072394950221,-0.044685661535105885,-0.04463184350110338,0.49984029127543594,0.4999865405114641,0.515,0.52
