row_id,category,dt,dx,dy,dz,dt_abs,r,s2,interval_class,dt_dir,axis,r_mult,mean_l_AA,mean_l_AB,mean_l_BA,mean_l_BB,mean_gap_A,mean_gap_B,mean_p_A_B,mean_p_B_A,frac_AB_lt_AA,frac_BA_lt_BB,frac_AB_lt_0,frac_BA_lt_0
0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,simultaneous,,,-45.75153904838305,-45.751539048383066,-45.751539048383066,-45.751539048383066,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
1,space_only,0.0,-8.0,0.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74871792758068,-45.74851768370938,-45.751539048383066,0.002821120802362964,0.0030213646736805266,0.5007052795763105,0.5007553404412041,0.0,0.0,1.0,1.0
2,space_only,0.0,8.0,0.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74851768370938,-45.74871792758067,-45.751539048383066,0.003021364673680582,0.0028211208023635748,0.5007553404412041,0.5007052795763107,0.0,0.0,1.0,1.0
3,space_only,0.0,0.0,-8.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,y,,-45.75153904838305,-45.74863487768087,-45.74860325196194,-45.751539048383066,0.0029041707021492114,0.002935796421107306,0.5007260420262339,0.5007339484183737,0.0,0.0,1.0,1.0
4,space_only,0.0,0.0,8.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,y,,-45.75153904838305,-45.74860325196194,-45.74863487768087,-45.751539048383066,0.0029357964211065846,0.0029041707021496554,0.5007339484183735,0.5007260420262342,0.0,0.0,1.0,1.0
5,space_only,0.0,0.0,0.0,-8.0,0.0,8.0,-64.0,spacelike,simultaneous,z,,-45.75153904838305,-45.74873271520362,-45.748555893855574,-45.751539048383066,0.0028063331794183077,0.0029831545274807136,0.5007015826444913,0.5007457878608715,0.0,0.0,1.0,1.0
6,space_only,0.0,0.0,0.0,8.0,0.0,8.0,-64.0,spacelike,simultaneous,z,,-45.75153904838305,-45.748555893855574,-45.74873271520362,-45.751539048383066,0.0029831545274802695,0.0028063331794184743,0.5007457878608714,0.5007015826444915,0.0,0.0,1.0,1.0
7,space_only,0.0,-16.0,0.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74006430754443,-45.73966407553355,-45.751539048383066,0.011474740838610609,0.011874972849508392,0.5028686463796598,0.502968701158339,0.0,0.0,1.0,1.0
8,space_only,0.0,16.0,0.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,x,,-45.75153904838305,-45.73966407553355,-45.74006430754443,-45.751539048383066,0.01187497284950817,0.01147474083861072,0.5029687011583389,0.5028686463796598,0.0,0.0,1.0,1.0
9,space_only,0.0,0.0,-16.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,y,,-45.75153904838305,-45.7399009488437,-45.739837676940795,-45.751539048383066,0.011638099539363178,0.011701371442270347,0.5029094859601726,0.5029253028308599,0.0,0.0,1.0,1.0
